@1,@2,@3,@4,@5,@6,@7
NOMBRE,PROVINCIA,LATITUD,LONGITUD,ALTURA,NRO,NroOACI
SANLUISAERO,SANLUIS,-33,16,-66,21,713
SANTAROSADECONLARAAERO,SANLUIS,-32,23,-65,11,620
VILLAREYNOLDSAERO,SANLUIS,-33,44,-65,23,486
ELCALAFATEAERO,SANTACRUZ,-50,16,-72,3,204
GOBERNADORGREGORESAERO,SANTACRUZ,-48,47,-70,10,358
PERITOMORENOAERO,SANTACRUZ,-46,31,-71,1,429
PUERTODESEADOAERO,SANTACRUZ,-47,44,-65,55,80
RIOGALLEGOSAERO,SANTACRUZ,-51,37,-69,17,19
SANJULIANAERO,SANTACRUZ,-49,19,-67,47,62
SANTACRUZAERO,SANTACRUZ,-50,1,-68,34,111
CERESAERO,SANTA,FE,-29,53,-61,57
ELTREBOL,SANTA,FE,-32,12,-61,40
RAFAELAAERO,SANTA,FE,-31,16,-61,30
RECONQUISTAAERO,SANTA,FE,-29,11,-59,42
ROSARIOAERO,SANTA,FE,-32,55,-60,47
SAUCEVIEJOAERO,SANTA,FE,-31,42,-60,49
SUNCHALESAERO,SANTA,FE,-30,58,-61,20
VENADOTUERTOAERO,SANTA,FE,-33,40,-61,58
SANTIAGODELESTEROAERO,SANTIAGODELESTERO,-27,46,-64,18,199
TERMASDERIOHONDOAERO,SANTIAGODELESTERO,-27,29,-64,56,280
RIOGRANDEB.A.,TIERRADELFUEGO,-53,48,-67,45,22
USHUAIAAERO,TIERRADELFUEGO,-54,48,-68,19,57
TUCUMANAERO,TUCUMAN,-26,51,-65,6,450
